Nom;Sigle;dep.;Ville;Joueurs;Age;Jeune;Sénior;Vétéran;  N  ;  R  ;  D  ;  P  ; NC ;Matchs;Points;Ecole
Union Sportive Change Badminton;USCB;53;Changé;98;26.0;39;28;31;;9;20;23;46;247;8789.36;421
Us Du Chatelet En Brie Badminton;USCB;77;Le Châtelet-en-Brie;104;32.3;24;35;45;;8;18;30;48;127;4989.27;165
U. S. Chambray Badminton;USCB;37;Chambray-lès-Tours;115;29.2;35;39;41;;3;19;31;62;118;1857.78;258
Union Sportive Clémentaise Badminton;USCB;49;Saint-Clément-de-la-Place;28;22.4;12;11;5;;;3;8;17;0;80.36;0
Union Sportive Chalette Badminton;USCB;45;Châlette-sur-Loing;0;0.0;0;0;0;;;;;;0;0;0
U. S. C. A. Châlonnaise;USCAC;51;Châlons-en-Champagne;95;21.7;61;13;21;;2;14;40;39;0;1425.76;452
Union Sportive Creteil;USC;94;Créteil;203;24.2;86;71;46;15;23;18;39;108;359;100603;476
U. S. Carrieres/seine;USC;78;Carrières-sur-Seine;331;26.6;162;47;122;7;26;35;81;182;282;48387.6;629
Union Sportive De Colomiers;USC;31;Colomiers;185;27.6;61;63;61;;9;15;45;116;175;4113.28;265
U. Sport. Chauvinoise Badminton;USC;86;Chauvigny;77;26.1;33;17;27;;3;11;14;49;128;1366.05;230
US Chateaugiron;USC;35;Châteaugiron;118;25.9;48;31;39;;3;13;36;66;46;1251.09;272
USC LA CRAU BADMINTON;USC;83;La Crau;141;40.7;4;50;87;;;6;32;103;0;188.63;0
Union Sportive Badminton Dieuze;USBD;57;Dieuze;25;29.9;10;3;12;;2;2;10;11;49;589.17;0
Union Sportive Bois le Roi Badminton;USBBAD;77;Bois-le-Roi;25;39.0;0;8;17;;;3;18;4;20;263.44;0
Union S.beaufortaise De Bad.;USBBAD;49;Beaufort-en-Vallée;30;25.9;14;5;11;;;2;18;10;0;83.13;0
Union Sportive Bazas - Badminton;USBB;33;Bazas;40;30.1;11;13;16;;;1;12;27;0;71.05;0
Union Saint-Bruno;USB;33;Bordeaux;333;26.1;107;145;81;27;39;51;52;164;651;208148;784
U. S. A. Cheminots De Somain;USAC;59;Somain;38;26.3;19;2;17;;2;4;7;25;2;411.03;135
union sportive Argentonnaise section Badminton;USABAD;36;Argenton-sur-Creuse;135;21.5;75;30;30;10;17;31;41;36;405;42707.6;826
Union Sportive Argentré Badminton;USABAD;53;Argentré;49;26.4;19;14;16;;;6;24;19;57;425.93;0
Union Sportive d'Aigurande Badminton;USAB;36;Aigurande;34;28.3;12;9;13;;;7;12;15;16;287.62;0
