id,name,club_id,start_date,url,lat,long,price_1_tab,price_2_tabs,price_3_tabs
1114,TRV 2018,1347,05.05.2018,tournoi-badminton/17-18-trv-2018-8035.html,45.2933,5.6364,15,18,
1115, Les volants de l'Arlésienne,286,05.05.2018,tournoi-badminton/17-18-les-volants-de-l-arlesienne-8573.html,43.69,4.63714,15,18,
1116, Les Plumes du Bugey,1647,05.05.2018,tournoi-badminton/17-18-les-plumes-du-bugey-8036.html,45761,5.68635,14,16,20
1117,16e TOURNOI DE DOUBLES SENIOR DE BLANQUEFORT,836,05.05.2018,tournoi-badminton/17-18-16e-tournoi-de-doubles-senior-de-blanquefort-8744.html,44.9143,-0.631003,13,17,
1118, BCE,1586,05.05.2018,tournoi-badminton/17-18-bce-9135.html,45.7409,1.73668,10,14,16
1119,4eme trophée de Dung,700,05.05.2018,tournoi-badminton/17-18-4eme-trophee-de-dung-9044.html,43616,3.80806,13,13,
1120, STILLITANO,902,05.05.2018,tournoi-badminton/17-18-stillitano-9073.html,47.7917,7.22814,14,18,
1121,1er Tournoi National FIB ST Gregoire ( Renne,779,05.05.2018,tournoi-badminton/17-18-1er-tournoi-national-fib-st-gregoire-renne-8660.html,48153,-1.69195,12,18,
1122,TDJ/RDJ 5 DORDOGNE,1050,05.05.2018,tournoi-badminton/17-18-tdj-rdj-5-dordogne-8814.html,45.0089,0.162779,7,,
1123,6ième tournoi doubles vétéran et jeunes de B,905,05.05.2018,tournoi-badminton/17-18-6ieme-tournoi-doubles-veteran-et-jeunes-de-b-9095.html,46.1281,1.05815,10,15,
1124, Stage Jeunes et Adultes,1340,05.05.2018,tournoi-badminton/17-18-stage-jeunes-et-adultes-9206.html,45.7682,4.89987,25,,
1125,TDJ33 - 5,1042,06.05.2018,tournoi-badminton/17-18-tdj33-5-8207.html,44835,-0.587269,,,
1126,TDJ TDV 6,1035,06.05.2018,tournoi-badminton/17-18-tdj-tdv-6-9082.html,43.7722,-0.434926,7,,
1127, Mixte noctune Châtillonnais,1611,07.05.2018,tournoi-badminton/17-18-mixte-noctune-chatillonnais-8879.html,47.5918,2.74498,13,,
1128,Mévennais taper de la plume mai 2018,313,08.05.2018,tournoi-badminton/17-18-mevennais-taper-de-la-plume-mai-2018-9147.html,48.1898,-2.19299,,,
1129,2ème tournoi des rainettes,1170,08.05.2018,tournoi-badminton/17-18-2eme-tournoi-des-rainettes-8308.html,45.0314,-0.790905,13,19,
1130, Flavy-Flavo (MIXTE),1956,08.05.2018,tournoi-badminton/17-18-flavy-flavo-mixte-9143.html,48.5667,6.18963,12,,
1131,Souillac - Le stage du 8 mai,2118,08.05.2018,tournoi-badminton/17-18-souillac-le-stage-du-8-mai-9215.html,44.8909,1.47117,25,,
1132,6ème Tournoi de Blagnac,1699,10.05.2018,tournoi-badminton/17-18-6eme-tournoi-de-blagnac-8941.html,43.6519,1.37152,16,19,21
1133,Plume des Neiges 2018 - Briançon,1704,10.05.2018,tournoi-badminton/17-18-plume-des-neiges-2018-briancon-8054.html,44.8881,6.6366,15,20,25
1134, l'ascension du volant,1904,10.05.2018,tournoi-badminton/17-18-l-ascension-du-volant-8650.html,43.6981,-1.00788,7,,
1135,BADAROM 2e Édition,2121,12.05.2018,tournoi-badminton/17-18-badarom-2e-dition-8893.html,48.8823,2.43231,12,18,
1136, FORMATION GEO OC-ULC,2027,12.05.2018,tournoi-badminton/17-18-formation-geo-oc-ulc-8885.html,43.8838,5.38034,160,,
1137, Formation OC + ULC (ancien SOC),994,12.05.2018,tournoi-badminton/17-18-formation-oc-ulc-ancien-soc-8835.html,43.8838,5.38034,160,,
